citation_key,agent_citation_key,category,pdf_name,pages,text_chars,selected_dest,source_original,selection_reason
BrownsteinTarr1979,BrownsteinTarr1979,01_core_theory_inversion,BrownsteinTarr1979.pdf,8,29423,01_core_theory_inversion\BrownsteinTarr1979.pdf,NMR Theory and Review\BrownsteinTarr1979.pdf,孔隙表面弛豫、扩散受限与 T2-孔径解释的经典理论基础。
Whittall1991NNLS,Whittall1991NNLS,01_core_theory_inversion,Journal of Magnetic Resonance Series A 1991 Whittall.pdf,14,31051,01_core_theory_inversion\Journal of Magnetic Resonance Series A 1991 Whittall.pdf,NMR Theory and Review\Journal of Magnetic Resonance Series A 1991 Whittall.pdf,多指数衰减/CPMG 数据反演、非负最小二乘类方法的关键背景，适合支撑“反演是病态问题、需要约束/正则化”的解释。
Song2012MRPM,Song2012MRPM,01_core_theory_inversion,Song2012_NMR_PorousMedia_t2t2.pdf,13,88716,01_core_theory_inversion\Song2012_NMR_PorousMedia_t2t2.pdf,NMR Theory and Review\Song2012_NMR_PorousMedia_t2t2.pdf,多孔介质 NMR、T2/T2 与孔隙耦合解释的理论综述背景。
Ramakrishnan1999Carbonates,Ramakrishnan1999Carbonates,01_core_theory_inversion,Ramakrishnan1999_CarbonateRocks.pdf,11,35283,01_core_theory_inversion\Ramakrishnan1999_CarbonateRocks.pdf,NMR Theory and Review\Ramakrishnan1999_CarbonateRocks.pdf,碳酸盐岩等复杂孔隙体系中 T2 分布、扩散和表面弛豫解释的理论背景。
Mohnke2015TriangularPores,Mohnke2015TriangularPores,01_core_theory_inversion,Mohnke2015_triangular_pore_intro!.pdf,11,47989,01_core_theory_inversion\Mohnke2015_triangular_pore_intro!.pdf,NMR Theory and Review\Mohnke2015_triangular_pore_intro!.pdf,理想孔隙几何/三角孔模型与模拟解释，可用于说明几何对 T2 谱的影响。
MullerPetke2015DiffusionRegimes,MullerPetke2015DiffusionRegimes,01_core_theory_inversion,Muller-Petke2015_DiffusionRegimes.pdf,12,61586,01_core_theory_inversion\Muller-Petke2015_DiffusionRegimes.pdf,NMR Theory and Review\Muller-Petke2015_DiffusionRegimes.pdf,扩散区制与 NMR 响应解释，适合补充模拟结果中扩散限制/耦合的物理背景。
Keating2012NMRAssumptions,Keating2012NMRAssumptions,01_core_theory_inversion,keating2012.pdf,13,75836,01_core_theory_inversion\keating2012.pdf,NMR Theory and Review\keating2012.pdf,NMR 响应与水文/多孔介质参数解释的理论背景。
Dunn2002PorousMediaNMR,Dunn2002PorousMediaNMR,01_core_theory_inversion,2002 Dunn-12.pdf,57,98452,01_core_theory_inversion\2002 Dunn-12.pdf,NMR Theory and Review\Dunn\2002 Dunn-12.pdf,Dunn 书籍章节中与表面弛豫、多指数衰减和多孔介质 NMR 机理相关的背景材料。
Coates1999NMRLogging,Coates1999NMRLogging,01_core_theory_inversion,1999 Coates.pdf,253,508262,01_core_theory_inversion\1999 Coates.pdf,NMR Theory and Review\Coates\1999 Coates.pdf,NMR petrophysics 经典背景书籍，适合查基本概念、T2 分布解释和应用语境。
Toumelin2007GeneralRandomWalk,Toumelin2007GeneralRandomWalk,02_pore_scale_simulation_random_walk,Toumelin2007_GeneralRW.pdf,14,54906,02_pore_scale_simulation_random_walk\Toumelin2007_GeneralRW.pdf,NMR simulation\Random Walk\Toumelin2007_GeneralRW.pdf,随机游走孔尺度 NMR 正演模拟方法，直接支撑模拟衰减/T2 分布的解释。
Toumelin2003GeneralRandomWalk,Toumelin2003GeneralRandomWalk,02_pore_scale_simulation_random_walk,Toumelin2003_generalRW.pdf,11,45597,02_pore_scale_simulation_random_walk\Toumelin2003_generalRW.pdf,NMR simulation\Random Walk\Toumelin2003_generalRW.pdf,随机游走模拟与孔隙尺度 NMR 响应的一般方法。
Toumelin2003TemperatureDiffusiveCoupling,Toumelin2003TemperatureDiffusiveCoupling,02_pore_scale_simulation_random_walk,Toumelin2003_Temp&DiffusiveCoupling.pdf,17,60673,02_pore_scale_simulation_random_walk\Toumelin2003_Temp&DiffusiveCoupling.pdf,NMR simulation\Random Walk\Toumelin2003_Temp&DiffusiveCoupling.pdf,温度效应与扩散耦合对 NMR 响应影响，适合解释峰展宽/峰位偏移。
Toumelin2002MonteCarloNMR,Toumelin2002MonteCarloNMR,02_pore_scale_simulation_random_walk,toumelin2002.pdf,13,46947,02_pore_scale_simulation_random_walk\toumelin2002.pdf,NMR simulation\Random Walk\toumelin2002.pdf,Monte Carlo/随机游走 NMR 响应模拟，适合支撑正演-反演链条。
